,product-ratingsContainer,product-ratingsCount,product-base href,product-brand,product-product,product-sizeInventoryPresent,product-discountedPrice,product-strike,product-discountPercentage,product-category
72,4.4,150,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-quartz-pink-bio-wash-brand-carrier-track-pants/17784166/buy,HRX by Hrithik Roshan,Men Lifestyle Track Pants,S,Rs. 374,Rs. 1499,(75% OFF),bottomwear
73,4.3,28,https://www.myntra.com/track-pants/harvard/harvard-men-navy-blue-side-striped-track-pants/16234382/buy,Harvard,Men Side Striped Track Pants,M,Rs. 374,Rs. 1498,(75% OFF),bottomwear
74,3.9,32,https://www.myntra.com/shorts/highlander/highlander-men-black--white-colourblocked-slim-fit-mid-rise-regular-shorts/14950382/buy,HIGHLANDER,Men Slim Regular Shorts,30,Rs. 359,Rs. 1199,(70% OFF),bottomwear
75,3.9,699,https://www.myntra.com/track-pants/highlander/highlander-men-black--green-solid-slim-fit-track-pants/13899952/buy,HIGHLANDER,Men Solid Slim-Fit Track Pants,L,Rs. 427,Rs. 949,(55% OFF),bottomwear
76,0.0,0,https://www.myntra.com/trousers/v-mart/v-mart-men-rust-slim-fit-easy-wash-chinos-trousers/20369118/buy,V-Mart,Men Slim Fit Chinos Trousers,32,Rs. 440,Rs. 800,(45% OFF),bottomwear
77,3.9,287,https://www.myntra.com/track-pants/locomotive/locomotive-men-navy-blue--orange-colourblocked-slim-fit-track-pants/14440238/buy,LOCOMOTIVE,Men Colourblocked Slim-Fit Track Pants,M,Rs. 384,Rs. 1099,(65% OFF),bottomwear
78,4.1,313,https://www.myntra.com/track-pants/highlander/men-highlander-black--white-solid-slim-fit-track-pants/13815430/buy,HIGHLANDER,Men Solid Slim-Fit Track Pants,S,Rs. 427,Rs. 949,(55% OFF),bottomwear
79,4.1,18,https://www.myntra.com/track-pants/highlander/highlander-men-blue-solid-slim-fit-track-pant/18192608/buy,HIGHLANDER,Men Solid Slim-Fit Track Pant,M,Rs. 419,Rs. 1199,(65% OFF),bottomwear
80,4.1,163,https://www.myntra.com/track-pants/harvard/harvard-grey-melange-joggers/1859548/buy,Harvard,Men Joggers,XL,Rs. 424,Rs. 1699,(75% OFF),bottomwear
81,4.3,13,https://www.myntra.com/track-pants/v-mart/v-mart-men-maroon-regular-fit-solid-track-pants/19880050/buy,V-Mart,Men Solid Track Pants,L,Rs. 382,Rs. 425,(10% OFF),bottomwear
82,4.0,655,https://www.myntra.com/track-pants/highlander/highlander-men-navy-blue-solid-slim-fit-track-pants/13815360/buy,HIGHLANDER,Men Solid Slim-Fit Track Pants,M,Rs. 404,Rs. 899,(55% OFF),bottomwear
83,4.0,446,https://www.myntra.com/track-pants/highlander/highlander-men-black--white-printed-slim-fit-track-pants/13658882/buy,HIGHLANDER,Men Slim-Fit Track Pants,S,Rs. 427,Rs. 949,(55% OFF),bottomwear
84,3.4,32,https://www.myntra.com/jeans/high-star/high-star-men-blue-slim-fit-stretchable-jeans/20867452/buy,High Star,Men Slim Fit Jeans,28,Rs. 479,Rs. 1999,(76% OFF),bottomwear
85,0.0,0,https://www.myntra.com/track-pants/v-mart/v-mart-men-mid-rise-straight-jogger/22062632/buy,V-Mart,Men Mid-Rise Straight Jogger,M,Rs. 379,Rs. 399,(5% OFF),bottomwear
86,3.9,306,https://www.myntra.com/track-pants/highlander/highlander-men-navy-blue--orange-colourblocked-slim-fit-track-pants/15518750/buy,HIGHLANDER,Men Colourblocked Slim-Fit Track Pants,S,Rs. 408,Rs. 949,(57% OFF),bottomwear
87,3.9,10,https://www.myntra.com/track-pants/harvard/harvard-men-blue-solid-mid-rise-regular-joggers/17985852/buy,Harvard,Men Solid Regular Joggers,S,Rs. 419,Rs. 1398,(70% OFF),bottomwear
88,3.5,23,https://www.myntra.com/track-pants/harvard/harvard-men-black-brand-logo-embroidered-mid-rise-casual-joggers/18404530/buy,Harvard,Men Black Casual Joggers,S,Rs. 424,Rs. 1698,(75% OFF),bottomwear
89,4.2,139,https://www.myntra.com/track-pants/highlander/highlander-men-white--black-typogrophy-printed-slim-fit-track-pants/17805684/buy,HIGHLANDER,Men Typogrophy Printed Slim Fit Track Pants,M,Rs. 427,Rs. 949,(55% OFF),bottomwear
90,4.8,5,https://www.myntra.com/track-pants/vimal-jonney/vimal-jonney-men-rust-orange-cotton-sports-track-pants/20061966/buy,VIMAL JONNEY,Men Sports Track Pants,M,Rs. 404,Rs. 899,(55% OFF),bottomwear
91,3.4,34,https://www.myntra.com/shorts/pause-sport/pause-sport-men-grey-melange-slim-fit-mid-rise-sports-shorts/14662652/buy,PAUSE SPORT,Men Slim Fit Mid-Rise Sports Shorts,28,Rs. 359,Rs. 1199,(70% OFF),bottomwear
92,4.0,16,https://www.myntra.com/shorts/vimal-jonney/vimal-jonney-men-grey-training-or-gym-sports-shorts/17654346/buy,VIMAL JONNEY,Men Training or Gym Sports Shorts,34,Rs. 350,Rs. 899,(61% OFF),bottomwear
93,3.8,6,https://www.myntra.com/trousers/roadster/roadster-men-orange-straight-fit-solid-trousers/17966948/buy,Roadster,Men Straight Fit Trousers,34,Rs. 485,Rs. 1799,(73% OFF),bottomwear
94,2.6,16,https://www.myntra.com/shorts/pause-sport/pause-sport-men-black-slim-fit-mid-rise-cotton-sports-shorts/14641596/buy,PAUSE SPORT,Men Slim Fit Sports Shorts,30,Rs. 359,Rs. 1199,(70% OFF),bottomwear
95,0.0,0,https://www.myntra.com/shorts/abof/abof-men-yellow-sports-shorts/19139958/buy,abof,Men Sports Shorts,30,Rs. 359,Rs. 1199,(70% OFF),bottomwear
96,3.9,31,https://www.myntra.com/track-pants/harvard/harvard-men-grey-melange-solid-joggers-with-side-stripes/14714628/buy,Harvard,Men Side Stripes Joggers,M,Rs. 424,Rs. 1698,(75% OFF),bottomwear
97,3.7,21,https://www.myntra.com/shorts/pause-sport/pause-sport-men-grey-melange-slim-fit-mid-rise-sports-shorts/14641604/buy,PAUSE SPORT,Men Slim Fit Mid-Rise Sports Shorts,28,Rs. 359,Rs. 1199,(70% OFF),bottomwear
98,4.1,7,https://www.myntra.com/track-pants/highlander/highlander-men-yellow--green-typography-printed-track-pant/20456222/buy,HIGHLANDER,Men Typography Printed Track Pant,XL,Rs. 434,Rs. 1499,(71% OFF),bottomwear
99,0.0,0,https://www.myntra.com/shorts/abof/abof-men-green-printed-sports-shorts/20029598/buy,abof,Men Sports Shorts,34,Rs. 359,Rs. 1199,(70% OFF),bottomwear
100,0.0,0,https://www.myntra.com/track-pants/v-mart/-v-mart-men-black--red-colourblocked-joggers/18816208/buy,V-Mart,Men Colourblocked Joggers,M,Rs. 380,Rs. 475,(20% OFF),bottomwear
101,4.0,5,https://www.myntra.com/shorts/pause-sport/pause-sport-men-mid-rise-cotton-sports-shorts/21955038/buy,PAUSE SPORT,Men Cotton Sports Shorts,30,Rs. 359,Rs. 1199,(70% OFF),bottomwear
102,3.7,6,https://www.myntra.com/shorts/vimal-jonney/vimal-jonney-men-grey-training-or-gym-sports-shorts/17654328/buy,VIMAL JONNEY,Men Sports Shorts,32,Rs. 350,Rs. 899,(61% OFF),bottomwear
103,3.5,137,https://www.myntra.com/shorts/highlander/highlander-men-black-colourblocked-slim-fit-mid-rise-cotton-regular-shorts/14441214/buy,HIGHLANDER,Men Colourblocked Slim Fit Mid-Rise Regular Shorts,30,Rs. 384,Rs. 1099,(65% OFF),bottomwear
104,3.8,21,https://www.myntra.com/track-pants/highlander/highlander-men-olive-green-solid-drawstring-track-pants/20098792/buy,HIGHLANDER,Solid Track Pants,M,Rs. 419,Rs. 1399,(70% OFF),bottomwear
105,3.9,14,https://www.myntra.com/track-pants/harvard/harvard-men-navy-blue--black-side-striped-joggers/16234396/buy,Harvard,Men Side Striped Joggers,L,Rs. 424,Rs. 1698,(75% OFF),bottomwear
106,0.0,0,https://www.myntra.com/track-pants/highlander/highlander-men-yellow-printed-track-pants/20098818/buy,HIGHLANDER,Men Printed Track Pants,M,Rs. 420,Rs. 1449,(71% OFF),bottomwear
107,4.7,7,https://www.myntra.com/trousers/abof/abof-men-green-joggers-trousers/20029534/buy,abof,Men Joggers Trousers,36,Rs. 479,Rs. 1599,(70% OFF),bottomwear
108,3.5,4,https://www.myntra.com/trousers/a-okay/a-okay-men-navy-blue-slim-fit-trousers/20837896/buy,A-Okay,Men Slim Fit Trousers,28,Rs. 494,Rs. 1499,(67% OFF),bottomwear
109,4.1,18,https://www.myntra.com/track-pants/prowl-by-tiger-shroff/prowl-by-tiger-shroff-men-black-printed-joggers-with-side-stripe-detail/19633360/buy,PROWL by Tiger Shroff,Men Printed Joggers,S,Rs. 399,Rs. 1599,(75% OFF),bottomwear
110,4.4,41,https://www.myntra.com/trousers/highlander/highlander-men-green--brown-slim-fit-camouflage-printed-chinos/12297664/buy,HIGHLANDER,Camouflage Printed Chinos,30,Rs. 494,Rs. 1649,(70% OFF),bottomwear
111,5.0,1,https://www.myntra.com/trousers/a-okay/a-okay-men-black-slim-fit-trouser/20837892/buy,A-Okay,Men Slim Fit Trouser,28,Rs. 494,Rs. 1499,(67% OFF),bottomwear
112,3.9,23,https://www.myntra.com/track-pants/harvard/harvard-men-navy-blue-solid-regular-fit-mid-rise-regular-track-pants/16234308/buy,Harvard,Men Solid Track Pants,S,Rs. 424,Rs. 1698,(75% OFF),bottomwear
113,0.0,0,https://www.myntra.com/track-pants/tripr/tripr-men-pack-of-2-regular-fit-mid-rise-joggers/22615228/buy,TRIPR,Men Pack Of 2 Mid-Rise Jogger,S,Rs. 399,Rs. 1999,(80% OFF),bottomwear
114,3.7,163,https://www.myntra.com/shorts/pause-sport/pause-sport-men-mustard-yellow-typography-printed-slim-fit-mid-rise-regular-shorts/14641592/buy,PAUSE SPORT,Men Typography Slim Fit Mid-Rise Regular Shorts,28,Rs. 359,Rs. 1199,(70% OFF),bottomwear
115,0.0,0,https://www.myntra.com/trousers/v-mart/v-mart-men-textured-classic-slim-fit-easy-wash-cotton-trousers/22281068/buy,V-Mart,Men Slim Fit Cotton Trousers,30,Rs. 449,Rs. 499,(10% OFF),bottomwear
116,2.6,5,https://www.myntra.com/track-pants/vimal-jonney/vimal-jonney-men-regular-fit-cotton-itch-free-track-pants/22540954/buy,VIMAL JONNEY,Men Regular Fit Track Pants,S,Rs. 395,Rs. 899,(56% OFF),bottomwear
117,4.2,18,https://www.myntra.com/shorts/abof/abof-men-red-mid-rise-sports-shorts/14333664/buy,abof,Men Mid-Rise Sports Shorts,32,Rs. 359,Rs. 1199,(70% OFF),bottomwear
118,0.0,0,https://www.myntra.com/track-pants/vimal-jonney/vimal-jonney-men-regular-fit-cotton-skin-friendly-track-pants/22540972/buy,VIMAL JONNEY,Men Regular Fit Track Pants,S,Rs. 395,Rs. 899,(56% OFF),bottomwear
119,0.0,0,https://www.myntra.com/track-pants/vimal-jonney/vimal-jonney-men-olive-green-solid-regular-fit-track-pants/17230592/buy,VIMAL JONNEY,Men Solid Regular Track Pants,S,Rs. 439,Rs. 1099,(60% OFF),bottomwear
120,4.0,16,https://www.myntra.com/shorts/abof/abof-men-grey-mid-rise-sports-shorts/14333824/buy,abof,Men Mid-Rise Sports Shorts,32,Rs. 359,Rs. 1199,(70% OFF),bottomwear
121,0.0,0,https://www.myntra.com/track-pants/v-mart/v-mart-men-graphic-printed-detail-mid-rise-track-pant/22062628/buy,V-Mart,Men Graphic Printed Detail Track Pant,M,Rs. 379,Rs. 399,(5% OFF),bottomwear
122,0.0,0,https://www.myntra.com/trousers/abof/abof-men-black-joggers-trousers/20064222/buy,abof,Men Joggers Trousers,30,Rs. 449,Rs. 1499,(70% OFF),bottomwear
123,4.1,11,https://www.myntra.com/track-pants/abof/abof-men-olive-green--black-solid-pure-cotton-regular-fit-joggers/14335132/buy,abof,Men Cotton Solid Joggers,M,Rs. 419,Rs. 1399,(70% OFF),bottomwear
